GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,VoidFunctionFunctionCaller,10,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntIntIntFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntOffsetOffsetFunctionCaller,16,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringBooleanStringFunctionCaller,13,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringJQueryFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,EventHandlerCaller,0,14,0,0,0,5,0,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntIntStringFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntJQueryFunctionCaller,11,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringElementFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringFunctionCaller,11,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntElementObjectFunctionCaller,0,13,0,0,0,4,0,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntObjectObjectFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,PromiseVoidFunctionCaller,15,0,0,0,5,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntElementVoidFunctionCaller,13,0,0,0,5,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntElementFunctionCaller,11,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,PromiseIntIntVoidFunctionCaller,17,0,0,0,5,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringStringFunctionCaller,0,12,0,0,0,4,0,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntTweenVoidFunctionCaller,0,16,0,0,0,5,0,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,VoidFunctionCaller,0,10,0,0,0,5,0,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntElementBooleanFunctionCaller,13,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntElementStringFunctionCaller,13,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,PromiseBooleanVoidFunctionCaller,10,6,0,0,2,3,1,1,1,1
jQuery4JavaFX,com.belteshazzar.jquery.functions.callers,IntStringIntFunctionCaller,12,0,0,0,4,0,2,0,2,0
jQuery4JavaFX,com.belteshazzar.jquery,PlainObject,150,111,16,12,37,29,20,7,8,5
jQuery4JavaFX,com.belteshazzar.jquery,Tween,0,3,0,0,0,2,0,1,0,1
jQuery4JavaFX,com.belteshazzar.jquery,Event,259,11,0,0,51,4,19,2,19,2
jQuery4JavaFX,com.belteshazzar.jquery,Promise.State,48,0,0,0,2,0,4,0,4,0
jQuery4JavaFX,com.belteshazzar.jquery,JQuery.new ChangeListener() {...},0,12,0,2,0,5,0,3,0,2
jQuery4JavaFX,com.belteshazzar.jquery,JQuery.new EventListener() {...},5,18,1,1,1,6,1,2,0,2
jQuery4JavaFX,com.belteshazzar.jquery,JQuery.new EventListener() {...},13,6,2,0,3,1,2,1,1,1
jQuery4JavaFX,com.belteshazzar.jquery,AnimationOptions,87,62,13,11,12,18,17,4,5,4
jQuery4JavaFX,com.belteshazzar.jquery,Deferred,171,0,0,0,26,0,13,0,13,0
jQuery4JavaFX,com.belteshazzar.jquery,Offset,17,0,0,0,4,0,1,0,1,0
jQuery4JavaFX,com.belteshazzar.jquery,JQuery.Config,0,12,0,0,0,5,0,1,0,1
jQuery4JavaFX,com.belteshazzar.jquery,JQuery,5332,1459,3,17,593,227,373,125,370,118
jQuery4JavaFX,com.belteshazzar.jquery,Promise,265,0,8,0,39,0,18,0,14,0
